route,med_group,dose_form
oral,Xanthines,Oral Paste
oral,Xanthines,Oral Powder
oral,Xanthines,Oral Solution
oral,Xanthines,Oral Suspension
oral,Xanthines,Effervescent Oral Tablet
oral,Xanthines,Extended Release Oral Capsule
oral,Xanthines,Powder for Oral Suspension
oral,Xanthines,Sublingual Tablet
oral,Xanthines,Tablet for Oral Suspension
oral,Xanthines,Oral Tablet
oral,Xanthines,Pack
oral,Systemic glucocorticoids,Buccal Tablet
oral,Systemic glucocorticoids,Delayed Release Oral Tablet
oral,Systemic glucocorticoids,Disintegrating Oral Tablet
oral,Systemic glucocorticoids,Chewable Tablet
oral,Systemic glucocorticoids,Delayed Release Oral Capsule
oral,Systemic glucocorticoids,Extended Release Oral Tablet
oral,Systemic glucocorticoids,Extended Release Suspension
oral,Systemic glucocorticoids,Oral Capsule
oral,Systemic glucocorticoids,Oral Gel
oral,Systemic glucocorticoids,Oral Granules
oral,Systemic glucocorticoids,Oral Lozenge
oral,Systemic glucocorticoids,Oral Ointment
oral,Systemic glucocorticoids,Oral Paste
oral,Systemic glucocorticoids,Oral Powder
oral,Systemic glucocorticoids,Oral Solution
oral,Systemic glucocorticoids,Oral Suspension
oral,Systemic glucocorticoids,Effervescent Oral Tablet
oral,Systemic glucocorticoids,Extended Release Oral Capsule
oral,Systemic glucocorticoids,Powder for Oral Suspension
oral,Systemic glucocorticoids,Sublingual Tablet
oral,Systemic glucocorticoids,Tablet for Oral Suspension
oral,Systemic glucocorticoids,Oral Tablet
oral,Systemic glucocorticoids,Pack
oral,Systemic B2 agonist,Buccal Tablet
oral,Systemic B2 agonist,Delayed Release Oral Tablet
oral,Systemic B2 agonist,Disintegrating Oral Tablet
oral,Systemic B2 agonist,Chewable Tablet
oral,Systemic B2 agonist,Delayed Release Oral Capsule
oral,Systemic B2 agonist,Extended Release Oral Tablet
oral,Systemic B2 agonist,Extended Release Suspension
oral,Systemic B2 agonist,Oral Capsule
oral,Systemic B2 agonist,Oral Gel
oral,Systemic B2 agonist,Oral Granules
oral,Systemic B2 agonist,Oral Lozenge
oral,Systemic B2 agonist,Oral Ointment
oral,Systemic B2 agonist,Oral Paste
oral,Systemic B2 agonist,Oral Powder
oral,Systemic B2 agonist,Oral Solution
oral,Systemic B2 agonist,Oral Suspension
oral,Systemic B2 agonist,Effervescent Oral Tablet
oral,Systemic B2 agonist,Extended Release Oral Capsule
oral,Systemic B2 agonist,Powder for Oral Suspension
oral,Systemic B2 agonist,Sublingual Tablet
oral,Systemic B2 agonist,Tablet for Oral Suspension
oral,Systemic B2 agonist,Oral Tablet
oral,Systemic B2 agonist,Pack
oral,LTRA,Buccal Tablet
oral,LTRA,Delayed Release Oral Tablet
oral,LTRA,Disintegrating Oral Tablet
oral,LTRA,Chewable Tablet
oral,LTRA,Delayed Release Oral Capsule
oral,LTRA,Extended Release Oral Tablet
oral,LTRA,Extended Release Suspension
oral,LTRA,Oral Capsule
oral,LTRA,Oral Gel
oral,LTRA,Oral Granules
oral,LTRA,Oral Lozenge
oral,LTRA,Oral Ointment
oral,LTRA,Oral Paste
oral,LTRA,Oral Powder
oral,LTRA,Oral Solution
oral,LTRA,Oral Suspension
oral,LTRA,Effervescent Oral Tablet
oral,LTRA,Extended Release Oral Capsule
oral,LTRA,Powder for Oral Suspension
oral,LTRA,Sublingual Tablet
oral,LTRA,Tablet for Oral Suspension
oral,LTRA,Oral Tablet
oral,LTRA,Pack
oral,PDE4,Buccal Tablet
oral,PDE4,Delayed Release Oral Tablet
oral,PDE4,Disintegrating Oral Tablet
oral,PDE4,Chewable Tablet
oral,PDE4,Delayed Release Oral Capsule
oral,PDE4,Extended Release Oral Tablet
oral,PDE4,Extended Release Suspension
oral,PDE4,Oral Capsule
oral,PDE4,Oral Gel
oral,PDE4,Oral Granules
oral,PDE4,Oral Lozenge
oral,PDE4,Oral Ointment
oral,PDE4,Oral Paste
oral,PDE4,Oral Powder
oral,PDE4,Oral Solution
oral,PDE4,Oral Suspension
oral,PDE4,Effervescent Oral Tablet
oral,PDE4,Extended Release Oral Capsule
oral,PDE4,Powder for Oral Suspension
oral,PDE4,Sublingual Tablet
oral,PDE4,Tablet for Oral Suspension
oral,PDE4,Oral Tablet
oral,PDE4,Pack
,SAMA,
,SABA,
,LAMA,
,LABA,
,ICS,
,Systemic glucocorticoids,
,Anti IL5(R),
,Anti IgE,
,Anti IL4R,
,Xanthines,
,LTRA,
,PDE4,
inhalation,SAMA,Inhalation Spray
inhalation,SABA,Inhalation Spray
inhalation,LAMA,Inhalation Spray
inhalation,LABA,Inhalation Spray
inhalation,ICS,Inhalation Spray
